percepcion,ideologia,KEY
Desaprueba,PAN poco,7_17
NS,NS,7_17
Aprueba,Movimiento Ciudadano mucho,7_17
Desaprueba,PAN poco,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,NS,7_17
Aprueba,PRI poco,7_17
Desaprueba mucho,NS,7_17
Desaprueba,NS,7_17
Aprueba,PRD poco,7_17
Desaprueba mucho,PRD poco,7_17
Desaprueba mucho,PAN poco,7_17
Desaprueba,PRD poco,7_17
Desaprueba mucho,PRD mucho,7_17
Desaprueba mucho,Morena mucho,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,PAN poco,7_17
Aprueba,PRI mucho,7_17
Desaprueba mucho,NS,7_17
Desaprueba,PRD poco,7_17
Aprueba,PRD poco,7_17
Desaprueba mucho,NS,7_17
Aprueba,PRI mucho,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,NS,7_17
Desaprueba,PAN poco,7_17
Desaprueba,NS,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,PAN poco,7_17
Aprueba,NS,7_17
Aprueba,NS,7_17
Desaprueba,PAN poco,7_17
Aprueba,NS,7_17
Aprueba,PRD poco,7_17
Aprueba,PRD poco,7_17
Desaprueba,NS,7_17
Desaprueba,PSD poco,7_17
Desaprueba mucho,PRD poco,7_17
Desaprueba mucho,PRD mucho,7_17
NS,PRI poco,7_17
Desaprueba,PAN poco,7_17
Desaprueba mucho,PAN poco,7_17
Desaprueba mucho,PRI poco,7_17
Desaprueba mucho,PSD mucho,7_17
Aprueba,PRD poco,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,PRD poco,7_17
Desaprueba mucho,PRD mucho,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,NS,7_17
Aprueba,PRI poco,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,PAN mucho,7_17
Desaprueba mucho,PAN poco,7_17
Desaprueba mucho,NS,7_17
Aprueba,PRI poco,7_17
Desaprueba mucho,Morena poco,7_17
Desaprueba mucho,PAN poco,7_17
Desaprueba mucho,PRD mucho,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,NS,7_17
Aprueba,NS,7_17
Desaprueba mucho,NS,7_17
Desaprueba,PRI poco,7_17
Desaprueba,PAN poco,7_17
Desaprueba mucho,PAN poco,7_17
Desaprueba mucho,NS,7_17
Desaprueba mucho,PAN poco,7_17
Desaprueba mucho,NS,7_17
Aprueba,PAN poco,7_17
Aprueba,NS,7_17
NS,NS,7_17
Desaprueba,PRD mucho,7_17
Desaprueba mucho,PRD poco,7_17
Aprueba,PRD mucho,7_17
Aprueba,PRD mucho,7_17
Desaprueba mucho,PRD mucho,7_17
Aprueba,NS,7_17
Aprueba,PRI poco,7_17
Aprueba mucho,PRI poco,7_17
Aprueba,PRI poco,7_17
NS,NS,7_17
Aprueba,PRI poco,7_17
Desaprueba mucho,PRI poco,7_17
Aprueba,PRI poco,7_17
Desaprueba mucho,PRD mucho,7_17
Desaprueba mucho,PRD mucho,7_17
Aprueba,PRD mucho,7_17
Aprueba,PRI mucho,7_17
Desaprueba mucho,PRD mucho,7_17
Desaprueba,PRI mucho,7_17
Desaprueba,PRD mucho,7_17
